entry_time,entry_hour,entry_price,exit_time,exit_price,direction,dir_label,strategy,stage,cfx_score,confidence_raw,confidence_mode,risk_fraction,equity_before,equity_after,risk_amount,stop_price,stop_distance_pct,position_notional,gross_return_pct,gross_pnl_cash,cost_cash,net_pnl_cash,net_r_multiple,win,exit_reason,ambiguous_candle,symbol,period
2025-12-09 15:05:00,15,133.68,2025-12-09 15:40:00,135.76629,1,LONG,RSI_TREND,0,1.0,0.8200000000000001,HIGH,0.035,10657.439445362616,10829.917355656018,373.0103805876916,131.97,0.010793793568697982,34557.857551530564,0.007390989676840187,255.4167684170761,82.93885812367334,172.47791029340277,0.46239439776892394,1,trailing_stop,False,SOLUSDT,TEST
2025-12-10 18:35:00,18,138.19,2025-12-10 19:25:00,138.217638,1,LONG,RSI_TREND,0,1.0,0.7334437051446508,MILD,0.025,10829.917355656018,10823.099358622436,270.74793389140046,136.59,0.020649602064960176,13111.532756886694,0.0018799999999999481,24.649681582946304,31.46767861652806,-6.817997033581758,-0.02518208333333587,0,break_even_stop,False,SOLUSDT,TEST
2025-12-11 20:45:00,20,134.9,2025-12-11 21:00:00,136.32377,1,LONG,RSI_SCALP,1,1.0,0.8318777121981539,HIGH,0.035,10823.099358622436,11200.624071871214,378.8084775517853,134.2,0.004598724224892483,82372.51442505051,0.006983139362490655,575.2187478688995,197.69403462012122,377.5247132487783,0.9966110465338477,1,trailing_stop,False,SOLUSDT,TEST
2025-12-12 02:15:00,2,137.45,2025-12-12 06:30:00,139.36964999999998,1,LONG,RSI_SCALP,1,1.0,0.7334301573301483,MILD,0.025,11200.624071871214,11497.217750405998,280.01560179678035,136.55,0.004810145033160823,58213.54654929762,0.007494925427428079,436.30619025309886,139.7125117183143,296.59367853478454,1.0592041180263791,1,trailing_stop,False,SOLUSDT,TEST
2025-12-12 14:55:00,14,138.46,2025-12-12 15:10:00,137.747085,-1,SHORT,RSI_SCALP,1,0.0,0.8614649512031242,HIGH,0.035,11497.217750405998,11709.553296331842,402.40262126421,139.47,0.007149046793760898,56287.590901684125,0.006172333164812898,347.42576408988566,135.0902181640419,212.33554592584377,0.5276693905689751,1,trailing_stop,False,SOLUSDT,TEST
2025-12-14 08:50:00,8,132.88,2025-12-14 10:20:00,132.03689999999997,-1,SHORT,RSI_TREND,0,1.0,0.7208644838814554,MILD,0.025,11709.553296331842,11973.144369055568,292.73883240829605,133.49184,0.004,73184.70810207402,0.006001723359422067,439.23437216870303,175.64329944497763,263.5910727237254,0.9004308398555169,1,trailing_stop,False,SOLUSDT,TEST
2025-12-14 14:35:00,14,130.78,2025-12-14 17:55:00,130.23794999999998,-1,SHORT,RSI_TREND,0,1.0,0.7781560005778766,MILD,0.025,11973.144369055568,12148.670174575078,299.32860922638923,131.57,0.005579333537144526,53649.52771394701,0.00567171203547947,304.28467203298266,128.7588665134728,175.52580551950984,0.5863983598933424,1,trailing_stop,False,SOLUSDT,TEST
2025-12-15 14:50:00,14,131.57,2025-12-15 15:00:00,129.78569999999996,-1,SHORT,RSI_TREND,0,1.0,0.7556198823220075,MILD,0.025,12148.670174575078,12218.546786103603,303.716754364377,133.81,0.020359920695440112,14917.3839578068,0.0070842403283423675,105.67833302726241,35.80172149873632,69.8766115285261,0.23007163919805784,1,trailing_stop,False,SOLUSDT,TEST
2025-12-18 17:05:00,17,125.83,2025-12-18 17:15:00,122.6502,-1,SHORT,RSI_TREND,0,1.0,0.7308808935993003,MILD,0.025,12218.546786103603,12293.548846802425,305.4636696525901,127.14999999999999,0.026230831315577078,11645.214975371051,0.008840590479217992,102.9505766397121,27.94851594089052,75.00206069882158,0.2455351262692644,1,trailing_stop,False,SOLUSDT,TEST
2025-12-20 22:20:00,22,125.81,2025-12-21 03:15:00,125.3235,-1,SHORT,RSI_SCALP,1,1.0,0.764839296889031,MILD,0.025,12293.548846802425,12565.103579798679,307.33872117006064,126.38000000000001,0.004051799475649407,75852.40163465927,0.005980041332167562,453.60049691943675,182.04576392318222,271.55473299625453,0.8835682401567434,1,trailing_stop,False,SOLUSDT,TEST
