entry_time,entry_hour,entry_price,exit_time,exit_price,direction,dir_label,strategy,stage,cfx_score,confidence_raw,confidence_mode,risk_fraction,equity_before,equity_after,risk_amount,stop_price,stop_distance_pct,position_notional,gross_return_pct_on_notional,gross_pnl_cash,cost_cash,net_pnl_cash,net_r_multiple,win,exit_reason,symbol,period
2026-01-08 15:05:00,15,134.62,2026-01-08 16:15:00,136.48305,1,LONG,RSI_SCALP,1,1.0,0.9026405950206691,HIGH,0.035,10310.547162162155,10505.918568167672,360.8691506756754,132.96,0.012331005794087035,29265.183773469595,0.007475898826325867,218.78355302429216,23.412147018775677,195.3714060055165,0.541391265060235,1,trailing_stop,SOLUSDT,TRAIN
2026-01-09 01:25:00,1,139.38,2026-01-09 01:35:00,138.24,1,LONG,RSI_TREND,0,1.0,0.874987628182179,HIGH,0.035,10505.918568167672,10102.245788421389,367.70714988586855,138.24,0.008179078777442865,44957.03732552015,-0.008179078777442839,-367.7071498858674,35.96562986041612,-403.67277974628354,-1.0978105263157876,0,stop_loss,SOLUSDT,TRAIN
2026-01-13 22:05:00,22,145.77,2026-01-13 22:15:00,146.82629500000002,1,LONG,RSI_TREND,0,1.0,0.8987076011601242,HIGH,0.035,10102.245788421389,10217.338841279203,353.57860259474865,143.38,0.01639569184331491,21565.33594152142,0.006136946902654839,132.34532161103095,17.252268753217137,115.09305285781382,0.3255091004184063,1,trailing_stop,SOLUSDT,TRAIN
2026-01-16 17:25:00,17,142.46,2026-01-16 19:15:00,143.25245,1,LONG,RSI_SCALP,1,0.0,0.9296034443079434,HIGH,0.035,10217.338841279203,10511.8636605015,357.6068594447721,141.52,0.006598343394637075,54196.46084734293,0.006234392110065912,337.8819879001709,43.35716867787435,294.5248192222965,0.8235994680850974,1,trailing_stop,SOLUSDT,TRAIN
2026-01-18 23:00:00,23,141.94,2026-01-18 23:45:00,139.052935,-1,SHORT,RSI_TREND,0,1.0,0.94,HIGH,0.035,10511.8636605015,10917.472488688261,367.91522811755254,142.88,0.006622516556291375,55555.199445750564,0.00810100570663664,450.052987743362,44.444159556600454,405.60882818676157,1.1024518617021353,1,trailing_stop,SOLUSDT,TRAIN
2026-01-24 13:55:00,13,126.94,2026-01-24 22:35:00,127.57469999999998,-1,SHORT,RSI_TREND,0,1.0,0.8378404909987153,PREMIUM,0.0325,10917.472488688261,10505.88377586472,354.8178558823685,127.57469999999998,0.005,70963.5711764737,-0.004999999999999893,-354.81785588236096,56.77085694117897,-411.58871282353994,-1.1599999999999788,0,stop_loss,SOLUSDT,TRAIN
2026-01-29 12:35:00,12,122.51,2026-01-29 14:55:00,120.911665,-1,SHORT,RSI_TREND,0,1.0,0.8715594335049489,HIGH,0.035,10505.88377586472,10929.535469184662,367.70593215526526,123.17,0.005387315321198242,68254.02083082088,0.007006985144069883,478.25490998459827,54.603216664656706,423.65169331994156,1.1521481060606142,1,trailing_stop,SOLUSDT,TRAIN
2026-02-08 23:20:00,23,86.54,2026-02-09 01:50:00,86.32673,-1,SHORT,RSI_TREND,0,1.0,0.910691256164529,HIGH,0.035,10929.535469184662,10981.371636439562,382.5337414214632,88.96,0.027963947307603272,13679.533050666778,0.0045893228564825965,62.779793695434144,10.943626440533423,51.83616725490072,0.13550743801653126,1,trailing_stop,SOLUSDT,TRAIN
2026-02-09 06:00:00,6,86.73,2026-02-09 06:40:00,86.376955,-1,SHORT,RSI_TREND,0,1.0,0.8277598851933565,PREMIUM,0.0325,10981.371636439562,11220.184669310094,356.89457818428576,87.35999999999999,0.007263922518159754,49132.48693003703,0.005660593220338988,278.1190224145615,39.30598954402962,238.8130328705319,0.6691416666666722,1,trailing_stop,SOLUSDT,TRAIN
2026-02-12 15:40:00,15,80.67,2026-02-12 16:05:00,79.65684999999999,-1,SHORT,RSI_TREND,0,1.0,0.8110754637376857,PREMIUM,0.0325,11220.184669310094,11445.73352279411,364.65600175257805,81.47,0.00991694558076109,36770.99957672572,0.006933878765340296,254.96565314539546,29.416799661380576,225.5488534840149,0.6185250000000043,1,trailing_stop,SOLUSDT,TRAIN
